id,nombre,tipo,raza,edad,sexo,esterilizado,color,estado
150,*Michonne,Cat,siamese,6,Female,No,Breed Specific,adoptado
151,*Dasher,Cat,siamese,7,Male,Yes,flame,adoptado
152,*Taco,Cat,domestic mediumhair,8,Male,Yes,black,colonia
155,Hero,Cat,domestic shorthair,7,Male,Yes,white,adoptado
156,*Joe,Cat,domestic shorthair,8,Male,Yes,black,en_adopcion
157,Buddy Buddy,Cat,domestic shorthair,14,Female,Yes,Breed Specific,colonia
158,*Bonnie,Cat,siamese,11,Female,Yes,Breed Specific,en_adopcion
159,*Sam,Cat,domestic shorthair,6,Male,Yes,white,adoptado
160,*Adam,Cat,domestic shorthair,7,Male,Yes,cream,perdido
161,*Georgia,Cat,domestic shorthair,6,Female,Yes,white,en_adopcion
162,*Castor,Cat,domestic shorthair,6,Male,Yes,black,adoptado
163,*Stefan,Cat,domestic shorthair,7,Male,Yes,cream,adoptado
165,*Tina,Cat,domestic shorthair,6,Female,No,brown,en_adopcion
166,Sage,Cat,domestic shorthair,6,Female,No,cream,adoptado
